state,Anti-Immigrant,Anti-LGBTQ,Anti-Muslim,Black Separatist,Christian Identity,General Hate,Hate Music,Holocaust Denial,Ku Klux Klan,Male Supremacy,Neo-Confederate,Neo-Nazi,Neo-Volkisch,Racist Skinhead,Radical Traditional Catholicism,White Nationalist
Alabama,0,0,0,7,0,1,0,0,1,0,2,2,1,0,0,2
Alaska,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Arizona,2,5,2,5,0,2,0,0,0,0,0,1,1,1,0,2
Arkansas,0,0,1,5,2,2,1,0,1,0,1,0,0,0,0,2
California,3,9,13,19,0,9,1,3,1,0,0,5,5,6,1,13
Colorado,1,4,2,5,1,1,1,0,0,0,0,1,1,0,0,5
Connecticut,0,0,2,1,0,2,0,0,0,0,0,1,0,0,0,2
Delaware,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Florida,2,5,7,19,1,8,0,0,3,0,5,5,2,3,0,7
Georgia,1,2,1,13,1,6,0,0,2,0,4,1,1,0,0,6
Hawaii,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0
Idaho,0,0,2,0,0,2,0,1,0,0,0,1,1,0,0,0
Illinois,0,5,2,8,2,2,1,0,2,0,0,1,0,1,0,2
Indiana,0,1,2,3,0,1,0,0,4,0,0,0,1,3,1,4
Iowa,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Kansas,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Kentucky,0,0,0,5,1,0,0,0,4,0,1,1,1,0,0,2
Louisiana,0,3,2,10,0,1,0,0,1,0,1,0,0,0,0,3
Maine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Maryland,1,1,1,7,0,2,1,1,1,0,0,1,0,1,1,2
Massachusetts,0,2,1,4,0,2,0,0,0,0,0,2,1,0,1,2
Michigan,0,2,4,7,0,2,1,0,1,0,0,3,1,1,0,5
Minnesota,0,0,1,1,0,2,0,0,0,0,0,0,2,2,1,3
Mississippi,0,1,0,4,0,0,0,0,5,0,1,0,1,0,0,0
Missouri,0,0,2,9,1,1,0,0,0,0,0,2,1,2,0,3
Montana,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3
Nebraska,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,1
Nevada,0,1,1,3,0,2,0,0,0,0,0,0,0,0,0,2
New Hampshire,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1
New Jersey,0,0,0,7,0,0,3,0,1,0,0,3,0,2,0,5
New Mexico,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
New York,0,2,5,14,0,5,1,0,2,0,0,2,1,2,2,8
North Carolina,1,0,0,16,0,2,0,0,2,0,3,0,1,4,0,3
North Dakota,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Ohio,0,4,3,9,0,3,0,0,3,0,0,2,1,1,1,4
Oklahoma,0,1,0,5,0,1,0,0,1,0,0,0,0,0,0,2
Oregon,1,1,0,1,0,5,0,0,1,0,0,0,1,3,0,2
Pennsylvania,0,1,3,9,0,3,2,1,1,0,0,3,3,4,1,5
Rhode Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
South Carolina,0,1,0,6,0,1,0,0,1,0,1,1,2,0,0,4
South Dakota,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
Tennessee,0,2,4,8,1,2,0,0,4,0,4,2,3,1,0,7
Texas,2,8,6,22,0,4,1,1,2,1,1,3,4,2,0,6
Utah,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2
Vermont,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Virginia,2,1,2,6,0,1,1,0,3,0,2,1,2,4,1,10
Washington,1,4,3,3,1,4,0,0,0,0,0,3,3,3,0,5
West Virginia,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2
Wisconsin,0,1,1,3,0,0,1,0,0,0,0,3,1,0,0,5
Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1